name,distance,planet_type,discovery_year,radius_multiplier
K2-137 b,323.0,Terrestrial,2017,0.64
Kepler-23 b,2726.0,Neptune-like,2011,1.9
Kepler-240 c,2436.0,Super Earth,2014,2.2
Kepler-245 c,2810.0,Super Earth,2014,2.18
