name,distance,planet_type,discovery_year,radius_multiplier
55 Cancri e,41.0,Super Earth,2004,1.875
61 Virginis b,28.0,Neptune-like,2009,2.11
CD Ceti b,28.0,Super Earth,2020,1.82
CoRoT-7 b,522.0,Super Earth,2009,1.681
DMPP-1 d,204.0,Super Earth,2019,1.65
DMPP-1 e,204.0,Super Earth,2019,1.86
Kepler-23 d,2726.0,Super Earth,2014,2.2
Kepler-240 b,2436.0,Super Earth,2014,1.37
Kepler-242 c,1958.0,Super Earth,2014,2.0
Kepler-243 c,2263.0,Super Earth,2014,1.99
Kepler-244 c,3381.0,Super Earth,2014,2.05
